Creator ID,Creator username,Group,Creator Network manager,Creator type,Relationship status,Subscription status,Joined time,Days since joining,Invitation type,Invited by,Promote permission,Baseline Diamond goal,Last goal update,Next goal update,Min. goal next update,Max. goal next update,Last LIVE,Notes,Followers,Videos,Likes,Diamonds in L30D,Valid go LIVE days in L30D,LIVE duration in L30D
7359136171454201861,lennna3,Not in a group,wes@yourdreamsocial.com,Pro+,Effective,Started,2023:09:11 19:38:01 (UTC+0),441,Regular,wes@yourdreamsocial.com,No,2500000,2024:09:01 00:00:00 (UTC+0),2024:12:01 00:00:00 (UTC+0),600000,7000000,2024:11:23 20:53:57 (UTC+0),,26285,622,125066,7350118,30,139.48
7359137414717243398,namastayehigh,Not in a group,wes@yourdreamsocial.com,Veteran,Effective,Started,2023:12:15 07:52:01 (UTC+0),346,Regular,wes@yourdreamsocial.com,No,50000,2024:09:01 00:00:00 (UTC+0),2024:12:01 00:00:00 (UTC+0),20000,500000,2024:11:24 07:59:30 (UTC+0),,7224,13,2120,4858538,22,75.96
7359136384247955461,ai.madmax,Maxed Out,kremaindustries@gmail.com,Pro+,Effective,Started,2023:10:04 22:23:01 (UTC+0),418,Regular,wes@yourdreamsocial.com,No,1600000,2024:10:01 00:00:00 (UTC+0),2025:01:01 00:00:00 (UTC+0),400000,5000000,2024:11:24 00:23:08 (UTC+0),,34709,18,17768,4746930,23,104.01
7398655011435134992,ableheartmusic,Not in a group,wes@yourdreamsocial.com,Veteran,Effective,Started,2024:08:02 21:32:55 (UTC+0),115,Elite,wes@yourdreamsocial.com,No,20000,2024:08:02 21:32:55 (UTC+0),2025:02:01 00:00:00 (UTC+0),20000,400000,2024:11:24 03:01:40 (UTC+0),,760154,1585,13849694,2286430,19,46.62
7359137498695467013,james_gordon_ledger,Maxed Out,kremaindustries@gmail.com,Pro+,Effective,Started,2023:12:20 16:09:01 (UTC+0),341,Regular,wes@yourdreamsocial.com,No,1300000,2024:09:01 00:00:00 (UTC+0),2024:12:01 00:00:00 (UTC+0),300000,4000000,2024:11:24 09:14:08 (UTC+0),,357742,128,6184324,2135039,18,44.36
7359137264645210118,kakashi.helye,Maxed Out,kremaindustries@gmail.com,Pro+,Effective,Started,2023:12:06 20:21:01 (UTC+0),355,Regular,wes@yourdreamsocial.com,No,2000000,2024:09:01 00:00:00 (UTC+0),2024:12:01 00:00:00 (UTC+0),500000,6000000,2024:11:23 01:02:57 (UTC+0),,23725,293,76487,1962489,30,223.77
7359136209949589509,ai_spider,Not in a group,wes@yourdreamsocial.com,Pro+,Effective,Started,2023:09:14 20:10:01 (UTC+0),438,Regular,wes@yourdreamsocial.com,No,750000,2024:09:01 00:00:00 (UTC+0),2024:12:01 00:00:00 (UTC+0),150000,3000000,2024:11:20 23:40:54 (UTC+0),,212341,445,567910,813080,12,44.58
7359138311971209221,skm100788,Maxed Out,kremaindustries@gmail.com,Pro,Effective,Started,2024:02:06 03:37:54 (UTC+0),293,Regular,wes@yourdreamsocial.com,No,400000,2024:11:01 00:00:00 (UTC+0),2025:02:01 00:00:00 (UTC+0),20000,1600000,2024:11:24 03:53:48 (UTC+0),,14776,381,20005,648620,27,103.51
7359136195538059269,dessuniqueeee,Not in a group,wes@yourdreamsocial.com,Veteran,Effective,Started,2023:09:13 15:21:02 (UTC+0),439,Regular,wes@yourdreamsocial.com,No,100000,2024:09:01 00:00:00 (UTC+0),2024:12:01 00:00:00 (UTC+0),20000,600000,2024:11:24 02:11:52 (UTC+0),,4684,124,9208,542546,17,68.06
7359136967092666373,lumbeequeen,Not in a group,wes@yourdreamsocial.com,Veteran,Effective,Started,2023:11:17 12:56:04 (UTC+0),374,Regular,wes@yourdreamsocial.com,No,150000,2024:11:01 00:00:00 (UTC+0),2025:02:01 00:00:00 (UTC+0),20000,750000,2024:11:24 09:26:03 (UTC+0),,3610,816,11090,390130,26,100.14
7397499575453532177,llmonstall,Not in a group,wes@yourdreamsocial.com,Rookie,Effective,Started,2024:07:30 18:51:26 (UTC+0),118,Regular,wes@yourdreamsocial.com,No,0,2024:07:30 18:51:26 (UTC+0),2025:01:01 00:00:00 (UTC+0),0,300000,2024:11:23 01:20:45 (UTC+0),,5920,22,1237,360700,29,145.31
7359138037235712005,canadiannightpant,Anita Dreams,anita@yourdreamsocial.com,Veteran,Effective,Started,2024:09:01 17:43:51 (UTC+0),85,Regular,anita@yourdreamsocial.com,No,50000,2024:09:01 17:43:51 (UTC+0),2025:03:01 00:00:00 (UTC+0),20000,500000,2024:11:24 10:45:39 (UTC+0),,5107,236,7340,318797,30,174.59
7417629286334562320,thicklipzthickems,BOP,team.bop.8@gmail.com,Rookie,Effective,Started,2024:09:23 00:35:56 (UTC+0),63,Regular,team.bop.8@gmail.com,No,0,2024:09:23 00:35:56 (UTC+0),2025:03:01 00:00:00 (UTC+0),0,300000,2024:11:21 17:47:07 (UTC+0),,17959,11,15870,292604,22,79.98
7390243875014819841,lotions.rl,Anita Dreams,anita@yourdreamsocial.com,Rookie,Effective,Started,2024:07:16 02:23:57 (UTC+0),132,Regular,anita@yourdreamsocial.com,No,0,2024:07:16 02:23:57 (UTC+0),2025:01:01 00:00:00 (UTC+0),0,300000,2024:11:24 01:02:23 (UTC+0),,7719,59,3804,249413,25,88.02
7397621026106130448,againsttherighteous,Not in a group,wes@yourdreamsocial.com,Rookie,Effective,Started,2024:07:31 02:39:22 (UTC+0),117,Regular,wes@yourdreamsocial.com,No,0,2024:07:31 02:39:22 (UTC+0),2025:01:01 00:00:00 (UTC+0),0,300000,2024:11:24 05:53:32 (UTC+0),,1797,28,1388,231851,10,28.29
7373523253551202320,spider_girl_maggie,Gothammites,jamesgordonledgerjoker@gmail.com,Pro,Effective,Started,2024:05:27 04:01:08 (UTC+0),182,Regular,anita@yourdreamsocial.com,No,400000,2024:11:01 00:00:00 (UTC+0),2025:02:01 00:00:00 (UTC+0),20000,1600000,2024:11:23 05:24:27 (UTC+0),,9631,15,3027,219001,9,12.46
7396680082737217537,realjaykillz,Not in a group,wes@yourdreamsocial.com,Veteran,Effective,Started,2024:07:28 13:45:40 (UTC+0),120,Regular,wes@yourdreamsocial.com,No,100000,2024:07:28 13:45:40 (UTC+0),2025:01:01 00:00:00 (UTC+0),20000,600000,2024:11:24 00:25:14 (UTC+0),,36786,127,34113,203582,29,180.88
